Gender,Under 30,Married,Dependents,Referred a Friend,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Churn Label,Age,Number of Dependents,Zip Code,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges
Male,No,No,No,No,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,No,69.0,0.0,93202.0,2872.0,0.0,1.0,29.0,4.0,44.0,0.0,0.0,29.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,79.0,0.0,93219.0,9318.0,7.0,17.0,46.0,13.0,95.0,0.0,0.0,789.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,No,70.0,0.0,93239.0,1809.0,9.0,52.0,28.0,18.0,106.0,0.0,90.0,1442.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,No,70.0,0.0,93260.0,266.0,0.0,8.0,45.0,29.0,85.0,0.0,0.0,357.0
Male,No,Yes,No,Yes,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,79.0,0.0,93265.0,3546.0,5.0,16.0,36.0,23.0,55.0,0.0,0.0,568.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,72.0,0.0,93291.0,36718.0,0.0,39.0,10.0,13.0,100.0,0.0,0.0,391.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,No,Credit Card,No,76.0,0.0,93405.0,31982.0,0.0,52.0,11.0,18.0,108.0,0.0,0.0,573.0
Male,No,Yes,No,Yes,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,No,70.0,0.0,93428.0,6526.0,1.0,72.0,0.0,7.0,65.0,0.0,30.0,0.0
Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,70.0,1.0,93445.0,7435.0,1.0,68.0,20.0,13.0,85.0,0.0,0.0,1381.0
Male,No,Yes,No,Yes,No,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,No,77.0,0.0,93461.0,1255.0,3.0,59.0,0.0,6.0,64.0,0.0,0.0,0.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,No,71.0,0.0,93512.0,340.0,5.0,46.0,21.0,15.0,100.0,0.0,0.0,987.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,80.0,0.0,93513.0,1826.0,8.0,58.0,31.0,4.0,99.0,0.0,0.0,1804.0
Male,No,No,No,No,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,No,75.0,0.0,93517.0,826.0,0.0,11.0,48.0,17.0,60.0,0.0,120.0,532.0
Female,No,No,No,No,No,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,72.0,0.0,93518.0,1022.0,0.0,34.0,0.0,28.0,56.0,0.0,0.0,0.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,68.0,0.0,92028.0,42239.0,6.0,55.0,43.0,27.0,74.0,0.0,0.0,2360.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,No,73.0,0.0,93549.0,318.0,0.0,9.0,25.0,15.0,80.0,0.0,10.0,224.0
Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,79.0,1.0,93554.0,117.0,5.0,14.0,14.0,30.0,96.0,0.0,0.0,201.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,No,72.0,0.0,93651.0,1314.0,2.0,34.0,13.0,8.0,72.0,0.0,0.0,441.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,78.0,0.0,93652.0,265.0,10.0,19.0,20.0,27.0,95.0,0.0,0.0,372.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,76.0,0.0,93701.0,13858.0,0.0,24.0,46.0,23.0,80.0,0.0,0.0,1107.0
Female,No,No,No,No,No,No,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,77.0,0.0,93703.0,31180.0,0.0,35.0,0.0,26.0,40.0,0.0,0.0,0.0
Male,No,Yes,No,No,Yes,Yes,No,Cable,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,No,69.0,0.0,93720.0,45087.0,0.0,71.0,22.0,0.0,25.0,0.0,0.0,1575.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,71.0,0.0,93725.0,21010.0,8.0,7.0,42.0,11.0,89.0,0.0,0.0,294.0
Female,No,No,No,No,No,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,65.0,0.0,93726.0,39148.0,0.0,57.0,0.0,26.0,55.0,0.0,0.0,0.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,No,78.0,0.0,93905.0,58548.0,0.0,72.0,15.0,30.0,117.0,0.0,0.0,1076.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,80.0,0.0,92027.0,48690.0,0.0,59.0,26.0,5.0,90.0,0.0,0.0,1509.0
Male,No,No,No,No,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,Two Year,No,Mailed Check,No,71.0,0.0,93923.0,13121.0,0.0,2.0,38.0,9.0,50.0,0.0,0.0,76.0
Male,No,No,No,No,Yes,No,No,Cable,No,No,No,No,No,No,No,No,One Year,No,Credit Card,No,79.0,0.0,93928.0,254.0,0.0,32.0,26.0,0.0,20.0,0.0,0.0,828.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,No,78.0,0.0,94010.0,40346.0,0.0,12.0,43.0,24.0,73.0,0.0,0.0,521.0
Female,No,No,No,No,Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,80.0,0.0,94043.0,27822.0,0.0,45.0,18.0,3.0,70.0,0.0,0.0,831.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,67.0,0.0,94074.0,291.0,0.0,5.0,18.0,15.0,86.0,0.0,0.0,92.0
Female,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,No,74.0,1.0,94103.0,23036.0,9.0,61.0,39.0,10.0,65.0,0.0,0.0,2398.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,73.0,0.0,94111.0,3337.0,8.0,14.0,45.0,4.0,75.0,0.0,0.0,636.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,No,75.0,0.0,94129.0,2240.0,2.0,72.0,45.0,24.0,116.0,0.0,120.0,3232.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,No,80.0,0.0,94301.0,16198.0,10.0,56.0,12.0,27.0,96.0,22.0,0.0,647.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,65.0,0.0,94530.0,23141.0,0.0,46.0,41.0,30.0,104.0,37.0,0.0,1894.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,70.0,0.0,94559.0,26894.0,5.0,4.0,6.0,8.0,70.0,31.0,0.0,24.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,No,80.0,0.0,94560.0,42491.0,0.0,32.0,32.0,4.0,91.0,26.0,0.0,1010.0
Male,No,Yes,No,Yes,Yes,No,Yes,Cable,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,No,79.0,0.0,94574.0,9423.0,7.0,67.0,42.0,12.0,61.0,17.0,0.0,2819.0
Female,No,No,No,No,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,68.0,0.0,94579.0,19815.0,0.0,29.0,9.0,22.0,59.0,33.0,0.0,258.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,73.0,0.0,94609.0,21097.0,0.0,14.0,7.0,3.0,80.0,33.0,0.0,103.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,No,70.0,0.0,94709.0,10147.0,0.0,18.0,26.0,23.0,85.0,5.0,70.0,463.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,77.0,0.0,94710.0,8157.0,0.0,72.0,14.0,23.0,110.0,45.0,0.0,1017.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,No,73.0,0.0,94801.0,28450.0,0.0,71.0,34.0,13.0,100.0,3.0,0.0,2440.0
Male,No,No,No,No,No,No,Yes,DSL,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,No,74.0,0.0,94803.0,25399.0,0.0,5.0,0.0,4.0,45.0,0.0,0.0,0.0
Female,No,No,No,No,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,No,78.0,0.0,94901.0,40239.0,0.0,52.0,34.0,3.0,60.0,19.0,0.0,1768.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,No,76.0,0.0,94945.0,16429.0,5.0,31.0,46.0,18.0,89.0,32.0,0.0,1428.0
Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,66.0,2.0,94952.0,31930.0,6.0,24.0,4.0,28.0,80.0,0.0,0.0,97.0
Male,No,Yes,No,Yes,Yes,No,Yes,DSL,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,No,65.0,0.0,94954.0,35419.0,9.0,36.0,47.0,28.0,54.0,1.0,0.0,1698.0
Female,No,No,No,No,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Two Year,No,Mailed Check,No,65.0,0.0,95007.0,1007.0,0.0,4.0,31.0,15.0,49.0,0.0,0.0,125.0
Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,76.0,1.0,95046.0,5671.0,7.0,46.0,20.0,16.0,110.0,0.0,0.0,939.0
Male,No,Yes,No,Yes,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,No,74.0,0.0,95066.0,14574.0,9.0,71.0,0.0,19.0,46.0,19.0,0.0,0.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,76.0,0.0,95215.0,23789.0,0.0,45.0,16.0,18.0,94.0,0.0,0.0,704.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,No,79.0,0.0,95250.0,88.0,8.0,26.0,19.0,11.0,98.0,44.0,0.0,485.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,No,79.0,0.0,95316.0,5513.0,2.0,54.0,44.0,12.0,116.0,0.0,0.0,2360.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,No,76.0,0.0,95324.0,7177.0,10.0,60.0,17.0,21.0,98.0,0.0,0.0,1023.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,No,73.0,0.0,95335.0,683.0,4.0,72.0,34.0,10.0,77.0,0.0,0.0,2425.0
Female,No,No,No,No,Yes,Yes,Yes,Cable,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,79.0,0.0,95346.0,1278.0,0.0,70.0,47.0,3.0,76.0,0.0,0.0,3309.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,No,80.0,0.0,95363.0,15536.0,7.0,10.0,25.0,30.0,75.0,0.0,0.0,251.0
Male,No,No,No,No,Yes,No,Yes,DSL,No,No,No,Yes,No,No,No,Yes,Two Year,No,Mailed Check,No,74.0,0.0,95369.0,1158.0,0.0,9.0,7.0,12.0,49.0,0.0,0.0,64.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,No,Mailed Check,No,68.0,0.0,92027.0,48690.0,2.0,32.0,2.0,11.0,79.0,0.0,0.0,69.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,No,70.0,0.0,95448.0,17979.0,7.0,72.0,18.0,16.0,106.0,0.0,80.0,1307.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,No,70.0,0.0,95451.0,9902.0,8.0,62.0,23.0,18.0,105.0,0.0,0.0,1410.0
Male,No,No,No,No,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,No,71.0,0.0,95459.0,586.0,0.0,69.0,13.0,10.0,74.0,0.0,0.0,922.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,No,80.0,0.0,95465.0,1880.0,0.0,57.0,37.0,17.0,101.0,0.0,0.0,2103.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,80.0,0.0,95494.0,335.0,0.0,65.0,18.0,3.0,99.0,0.0,0.0,1185.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,80.0,0.0,95536.0,2965.0,0.0,4.0,19.0,17.0,95.0,0.0,0.0,76.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,73.0,0.0,95545.0,82.0,5.0,69.0,50.0,13.0,95.0,0.0,0.0,3444.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,72.0,0.0,95547.0,1201.0,0.0,8.0,2.0,13.0,74.0,0.0,0.0,17.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,74.0,0.0,95548.0,1215.0,0.0,63.0,42.0,16.0,90.0,0.0,0.0,2633.0
Male,No,Yes,No,Yes,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,No,69.0,0.0,95560.0,1851.0,10.0,71.0,11.0,24.0,71.0,0.0,0.0,806.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,65.0,0.0,95563.0,660.0,0.0,26.0,25.0,9.0,94.0,0.0,0.0,651.0
Male,No,No,No,No,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,No,73.0,0.0,95635.0,1140.0,0.0,18.0,47.0,7.0,58.0,0.0,0.0,852.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,66.0,0.0,95641.0,2010.0,0.0,72.0,31.0,18.0,107.0,0.0,0.0,2254.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,68.0,0.0,95645.0,1793.0,10.0,70.0,38.0,25.0,91.0,0.0,0.0,2695.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,No,75.0,0.0,95664.0,1173.0,0.0,21.0,25.0,17.0,104.0,0.0,130.0,523.0
Male,No,No,No,No,No,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,No,72.0,0.0,95665.0,4354.0,0.0,54.0,0.0,26.0,55.0,0.0,0.0,0.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,69.0,0.0,95673.0,14010.0,0.0,56.0,47.0,18.0,97.0,0.0,0.0,2614.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,No,67.0,0.0,95687.0,63157.0,0.0,64.0,10.0,26.0,102.0,0.0,0.0,644.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,68.0,0.0,95703.0,1526.0,0.0,31.0,15.0,10.0,97.0,0.0,0.0,476.0
Female,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,66.0,0.0,95735.0,25.0,5.0,15.0,38.0,19.0,95.0,0.0,0.0,568.0
Male,No,No,No,No,Yes,No,No,Cable,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,No,79.0,0.0,95746.0,20675.0,0.0,64.0,5.0,0.0,20.0,0.0,0.0,319.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,No,67.0,0.0,95826.0,38818.0,0.0,34.0,14.0,30.0,69.0,0.0,0.0,461.0
Male,No,Yes,Yes,Yes,Yes,No,No,Cable,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,No,77.0,1.0,95832.0,9063.0,5.0,71.0,32.0,0.0,20.0,0.0,0.0,2281.0
Female,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,No,80.0,1.0,95916.0,1279.0,7.0,71.0,49.0,15.0,69.0,0.0,0.0,3450.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,68.0,0.0,95925.0,262.0,4.0,31.0,5.0,3.0,85.0,0.0,0.0,164.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,80.0,0.0,95937.0,19.0,0.0,36.0,42.0,10.0,75.0,0.0,0.0,1497.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,No,77.0,0.0,95960.0,565.0,5.0,64.0,15.0,16.0,80.0,0.0,0.0,952.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,No,75.0,0.0,95968.0,1254.0,7.0,72.0,11.0,20.0,97.0,0.0,0.0,809.0
Female,No,No,No,No,No,No,Yes,DSL,Yes,Yes,No,No,No,No,No,No,Two Year,Yes,Credit Card,No,73.0,0.0,95988.0,8812.0,0.0,43.0,0.0,18.0,33.0,0.0,40.0,0.0
Male,No,No,No,No,Yes,No,No,Cable,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,No,67.0,0.0,96013.0,4552.0,0.0,69.0,21.0,0.0,20.0,0.0,0.0,1423.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,No,73.0,0.0,96021.0,13840.0,1.0,63.0,37.0,18.0,108.0,0.0,0.0,2339.0
Female,No,Yes,No,Yes,Yes,No,Yes,DSL,No,Yes,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,No,65.0,0.0,96023.0,1162.0,10.0,48.0,34.0,2.0,59.0,0.0,0.0,1653.0
Female,No,No,No,No,Yes,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,No,65.0,0.0,96047.0,911.0,0.0,46.0,16.0,26.0,69.0,0.0,0.0,738.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,No,72.0,0.0,96055.0,3756.0,4.0,72.0,17.0,19.0,112.0,0.0,110.0,1218.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,No,78.0,0.0,96063.0,124.0,0.0,20.0,26.0,9.0,84.0,0.0,10.0,510.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,No,72.0,0.0,96065.0,431.0,2.0,57.0,48.0,10.0,71.0,0.0,0.0,2745.0
Female,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,70.0,0.0,96067.0,7309.0,4.0,44.0,44.0,6.0,85.0,0.0,0.0,1955.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,No,77.0,0.0,96092.0,439.0,7.0,72.0,6.0,2.0,85.0,0.0,0.0,397.0
Male,No,Yes,No,Yes,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,No,65.0,0.0,96116.0,277.0,1.0,63.0,41.0,29.0,84.0,0.0,0.0,2561.0
Male,No,Yes,No,Yes,Yes,Yes,No,Cable,No,No,No,No,No,No,No,No,One Year,No,Credit Card,No,79.0,0.0,96122.0,4236.0,5.0,45.0,45.0,0.0,25.0,0.0,0.0,2021.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,71.0,0.0,96123.0,61.0,0.0,45.0,13.0,4.0,97.0,0.0,0.0,570.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,70.0,0.0,96128.0,408.0,0.0,16.0,22.0,5.0,74.0,0.0,0.0,352.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,73.0,0.0,96145.0,4002.0,7.0,29.0,37.0,12.0,84.0,0.0,0.0,1066.0
Female,No,Yes,Yes,Yes,No,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,65.0,1.0,90014.0,3524.0,4.0,68.0,0.0,23.0,53.0,0.0,0.0,0.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,No,79.0,0.0,90019.0,67520.0,8.0,13.0,48.0,6.0,94.0,0.0,0.0,626.0
Female,No,Yes,No,Yes,Yes,Yes,No,Cable,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,No,69.0,0.0,90026.0,73686.0,5.0,22.0,15.0,0.0,26.0,0.0,0.0,336.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,No,66.0,0.0,90045.0,39334.0,0.0,62.0,48.0,8.0,111.0,0.0,0.0,2964.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,No,76.0,0.0,90065.0,47534.0,4.0,43.0,4.0,22.0,94.0,0.0,0.0,157.0
Male,No,No,No,No,No,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,No,78.0,0.0,90067.0,2527.0,0.0,23.0,0.0,2.0,35.0,0.0,0.0,0.0
Male,No,Yes,No,Yes,No,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,No,73.0,0.0,90068.0,21728.0,10.0,71.0,0.0,28.0,52.0,0.0,40.0,0.0
